iter	Passed	Remaining
408	4148	5994
409	4158	5984
410	4168	5974
411	4179	5964
412	4189	5954
413	4198	5943
414	4208	5932
415	4218	5921
416	4227	5909
417	4237	5899
418	4246	5888
419	4255	5876
420	4264	5865
421	4272	5852
422	4281	5839
423	4288	5826
424	4297	5814
425	4304	5800
426	4313	5788
427	4321	5775
428	4329	5762
429	4337	5750
430	4346	5738
431	4354	5725
432	4362	5713
433	4371	5700
434	4379	5688
435	4388	5676
436	4397	5664
437	4405	5652
438	4415	5642
439	4422	5629
440	4431	5617
441	4439	5605
442	4449	5594
443	4457	5582
444	4468	5572
445	4477	5562
446	4486	5550
447	4496	5540
448	4505	5528
449	4514	5518
450	4523	5506
451	4534	5497
452	4544	5488
453	4554	5477
454	4564	5467
455	4573	5456
456	4583	5445
457	4592	5434
458	4600	5422
459	4610	5412
460	4617	5398
461	4626	5387
462	4634	5375
463	4643	5363
464	4651	5351
465	4660	5340
466	4668	5328
467	4677	5316
468	4685	5304
469	4695	5294
470	4703	5282
471	4713	5272
472	4721	5260
473	4731	5250
474	4741	5240
475	4750	5229
476	4759	5218
477	4768	5207
478	4777	5196
479	4787	5186
480	4796	5175
481	4807	5166
482	4816	5155
483	4826	5145
484	4835	5134
485	4844	5123
486	4853	5112
487	4861	5100
488	4871	5090
489	4879	5078
490	4888	5067
491	4896	5055
492	4906	5045
493	4914	5033
494	4923	5022
495	4931	5010
496	4940	4999
497	4948	4988
498	4956	4976
499	4964	4964
500	4973	4953
501	4981	4941
502	4990	4930
503	4998	4919
504	5007	4908
505	5017	4898
506	5025	4886
507	5034	4875
508	5042	4863
509	5051	4853
510	5059	4841
511	5068	4830
512	5076	4818
513	5085	4808
514	5093	4797
515	5104	4787
516	5113	4777
517	5123	4767
518	5134	4758
519	5144	4749
520	5153	4738
521	5163	4728
522	5174	4719
523	5184	4709
524	5195	4700
525	5203	4689
526	5212	4678
527	5221	4667
528	5229	4656
529	5237	4644
530	5247	4634
531	5255	4623
532	5265	4613
533	5273	4601
534	5283	4592
535	5294	4583
536	5303	4572
537	5315	4564
538	5326	4555
539	5337	4546
540	5349	4538
541	5361	4530
542	5371	4520
543	5383	4512
544	5395	4504
545	5404	4494
546	5416	4485
547	5427	4477
548	5438	4467
549	5448	4457
550	5460	4449
551	5469	4439
552	5480	4429
553	5489	4419
554	5498	4408
555	5510	4400
556	5518	4388
557	5528	4379
558	5540	4370
559	5548	4359
560	5559	4350
561	5567	4338
562	5576	4328
563	5584	4316
564	5594	4307
565	5604	4297
566	5613	4286
567	5622	4276
568	5631	4265
569	5640	4255
570	5648	4243
571	5657	4232
572	5665	4222
573	5673	4210
574	5682	4199
575	5690	4188
576	5698	4177
577	5706	4166
578	5714	4155
579	5722	4143
580	5730	4132
581	5738	4121
582	5747	4110
583	5755	4099
584	5763	4088
585	5771	4077
586	5779	4066
587	5787	4055
588	5795	4043
589	5803	4033
